ID,trad_male,UHCollege,UHDept,Gender,YearPhDcompleted,YearsSincePhd,H2019,salary,female_c,udept_female_c,years_c,udept_avg_years_c,h_c,udept_avg_h_c,University,unique_college,unique_dept
733605ec74fe528e,1,NSM,Physics,Female,2003,16,24,90435,0.6875,0.0830242334322453,-5.5625,1.9192776949050625,-8.8125,6.021509267154606,University5,University5: Sciences,University5: Physics
73411c3227e5ed02,1,NSM,Mathematics,Male,2009,10,19,99599,-0.2,-0.02947576656775469,-7.933333333333334,-1.709888971761604,4.533333333333333,-12.324324066178727,University16,University16: Arts and Science,University16: Mathematics & Statistics
73448ad336aa8d60,1,Engineering,Mechanical Engineering,Male,2006,13,23,115000.02,-0.11538461538461539,-0.11409115118313931,-4.307692307692307,-2.335529997402631,0.23076923076922995,-4.021759963614624,University6,University6: Engineering,University6: Mechanical
7347cba4d30f7b8c,1,Engineering,Electrical & Computer Engineering,Male,2016,3,8,97500,-0.2,-0.02947576656775469,-13.977777777777778,-2.6654445273171596,-20.977777777777778,2.186787044932384,University3,University3: Engineering,University3: Electrical Engineering
736309397942c0bb,1,Engineering,Mechanical Engineering,Male,2002,17,32,134398.26,0,-0.2294757665677547,4,-6.6432223050949375,12,-6.790990732845394,University14,University14: Engineering and Computer Science,University14: Mechanical Engineering
7396864acee4ea72,1,Engineering,Civil & Environmental Engineering,Male,1997,22,29,126571,-0.17647058823529413,-0.05300517833246057,8.705882352941176,-6.349104658036113,9.823529411764707,-7.6145201446101005,University5,University5: Engineering,University5: Civil Construction and Environmental Engineering
73aa4c91d4ece768,1,NSM,Physics,Male,1981,38,27,107687.34,-0.17391304347826086,-0.05556272308949384,8.782608695652176,9.574168999252887,-19.391304347826086,19.600313614980692,University9,University9: Natural Sciences and Mathematics,University9: Physics
7411f637fac70c79,0,CLASS,Psychology,Male,1999,20,38,119770,-0.4666666666666667,0.23719090009891197,-4.399999999999999,4.756777694905061,-4.200000000000003,15.409009267154609,University3,University3: School of Social and Behavioral Sciences,University3: Psychology
741f26441aa908c7,1,NSM,Physics,Female,2009,10,7,87082.5,0.7142857142857143,0.056238519146530996,-12.428571428571427,2.7853491234764896,-26.57142857142857,6.780437838583175,University12,University12: College of Arts & Sciences,University12: Physics and Astronomy
7430355d9f83951f,0,CLASS,Sociology,Female,2000,19,20,156525,0.6666666666666667,0.10385756676557861,-1.9444444444444429,1.3012221393495054,-7.055555555555557,0.26456482271016313,University4,University4: Social Sciences,University4: Sociology
74423ac79c78089c,1,NSM,Mathematics,Male,1995,24,32,109540.32,-0.36363636363636365,0.13416059706860894,-4.727272727272727,9.08405042217779,10.727272727272727,-5.518263460118121,University10,University10: College of Arts and Sciences,University10: Mathematical Sciences
745185cf897341f2,1,Engineering,Biomedical Engineering,Female,1977,42,76,235941,0.8333333333333334,-0.06280909990108804,27,-4.6432223050949375,45.5,3.709009267154606,University5,University5: Engineering,University5: Biomedical Engineering
7465ce42489b0780,1,Engineering,Industrial Engineering,Male,2006,13,23,136173.42,-0.07692307692307693,-0.15255268964467777,-1.8461538461538467,-4.797068458941091,4.46153846153846,-8.252529194383854,University6,University6: Engineering,University6: Industrial & Systems
746731e7f1c498cc,1,NSM,Computer Science,Male,2008,11,30,115000,-0.1794871794871795,-0.049988587080575214,-6.948717948717949,-1.6945043563769886,-1.23076923076923,4.439778497923836,University3,University3: Engineering,University3: Computer Science
74a2259f185f21d3,1,Engineering,Mechanical Engineering,Male,2007,12,16,118304.4,-0.043478260869565216,-0.18599750569818949,-5,-2.6432223050949375,-9.782608695652176,-1.0083820371932184,University2,University2: Engineering,University2: Mechanical and Aerospace Engineering
74bc4f4e9fe18d66,1,NSM,Biology & Biochemistry,Female,1992,27,34,96578,0.7894736842105263,-0.01894945077828103,5.2631578947368425,2.09361980016822,1.8421052631578974,5.366904003996709,University16,University16: Arts and Science,University16: Biology
74c01a70c00c06e4,1,Engineering,Chemical & Biomolecular Engineering,Male,2006,13,18,112001.76,-0.125,-0.1044757665677547,-6.0625,-0.5807223050949375,-10.0625,1.271509267154606,University6,University6: Engineering,University6: Chemical Engineering
74d633d2fc5c345c,0,CLASS,Psychology,Male,1964,55,110,272858,-0.4888888888888889,0.25941312232113417,33.22222222222222,2.134555472682841,62.24444444444445,20.96456482271016,University4,University4: Life Sciences,University4: Psychology
74dc5022bd57af40,1,Engineering,Electrical & Computer Engineering,Male,2001,18,34,125000.24,0,-0.2294757665677547,-8.11111111111111,6.467888806016173,5.666666666666668,1.5423426004879381,University14,University14: Engineering and Computer Science,University14: Computer Engineering
74eb98399026fb2c,1,NSM,Earth & Atmospheric Sciences,Female,2001,18,21,92658.06,0.7857142857142857,-0.015190052282040428,-7.892857142857142,6.249634837762205,-8.107142857142858,2.3161521242974636,University9,University9: Natural Sciences and Mathematics,University9: Earth & Atmospheric Sciences
74ff1694eb8a1ef2,0,CLASS,Health & Human Performance,Male,1987,32,22,142296.96,-0.5714285714285714,0.3419528048608167,16.57142857142857,-4.214650876523509,8,-12.790990732845394,University9,University9: Liberal Arts and Social Sciences,University9: Health and Human Performance
7557a36acdac713f,1,NSM,Mathematics,Male,1981,38,38,132958.2,-0.09523809523809523,-0.13423767132965947,13.285714285714285,5.071063409190778,12,-0.790990732845394,University3,University3: Mathematics,University3: Applied Mathematics
75629cef51a8bfc2,1,Engineering,Electrical & Computer Engineering,Male,1994,25,30,128352,-0.14634146341463414,-0.08313430315312056,6.390243902439025,-1.0334662075339622,-0.9756097560975618,4.184619023252168,University2,University2: Engineering,University2: Electrical and Computer Engineering
75697d414694ee7e,0,CLASS,Psychology,Male,2001,18,39,128262,-0.45,0.2205242334322453,5,-6.6432223050949375,6.549999999999997,5.659009267154609,University15,University15: Arts and Sciences,University15: Psychology
758852a47f17ea7c,1,NSM,Earth & Atmospheric Sciences,Male,2007,12,21,138775,0,-0.2294757665677547,-8.875,1.2317776949050625,-19.5,13.709009267154606,University4,University4: College of Physical Sciences,University4: Atmospheric and Oceanic Sciences
758b6aa203d3d681,1,NSM,Chemistry & Biochemistry,Male,1995,24,26,84048.037,-0.3,0.07052423343224529,1.5,2.8567776949050625,-11.700000000000003,10.909009267154609,University14,University14: Natural Sciences and Mathematics,University14: Chemistry and Biochemistry
758f09edd2bc474c,1,Engineering,Electrical & Computer Engineering,Male,2012,7,22,97920.03,-0.1,-0.1294757665677547,-13.899999999999999,1.256777694905061,-12.049999999999997,7.259009267154603,University14,University14: Engineering and Computer Science,University14: Electrical Engineering
7590b64a40f10c6d,1,NSM,Computer Science,Male,2002,17,79,287000,-0.10714285714285714,-0.12233290942489757,-6.321428571428573,3.6782062663336355,32.42857142857143,19.780437838583175,University7,University7: Computer Mathematical & Natural Sciences,University7: Computer Science
7592ce7ee1ac3e2c,0,CLASS,Psychology,Female,2000,19,44,141643.08,0.4814814814814815,0.2890427519507638,-0.33333333333333215,-0.30988897176160535,6.555555555555557,10.653453711599049,University9,University9: Liberal Arts and Social Sciences,University9: Psychology
75ea840a01fa8ec9,0,CLASS,Psychology,Female,2001,18,34,173487,0.6153846153846154,0.15513961804762993,2.3076923076923084,-3.950914612787246,10,-2.790990732845394,University11,University11: Arts and Sciences,University11: Psychology
75ee661561f2aa62,1,Engineering,Civil & Environmental Engineering,Male,2010,9,12,109036.32,-0.2222222222222222,-0.007253544345532492,-3.7777777777777786,-6.865444527317159,-8.222222222222221,-6.568768510623173,University2,University2: Engineering,University2: Civil Environmental and Geodetic Engineering
7603ccffc2217f36,1,NSM,Chemistry & Biochemistry,Male,1996,23,23,92187.63,-0.125,-0.1044757665677547,0,3.3567776949050625,-20.8125,17.021509267154606,University6,University6: Science,University6: Chemistry
760b27daaaf3c902,0,CLASS,Political Science,Male,1992,27,20,124591,-0.08333333333333333,-0.1461424332344214,8.833333333333332,-1.4765556384282696,8.333333333333334,-15.124324066178728,University1,University1: Sciences,University1: Political Sciences
7627750810bf1c06,0,CLASS,Psychology,Male,2011,8,46,96435.27,-0.45454545454545453,0.22506968797769983,-12.727272727272727,1.0840504221777891,10.636363636363633,8.572645630790973,University14,University14: Behavioral and Brain Sciences,University14: Psychology
76359012247d4551,1,NSM,Chemistry & Biochemistry,Male,2009,10,22,108000,-0.07692307692307693,-0.15255268964467777,-15.923076923076923,6.279854617981986,-17.53846153846154,12.747470805616146,University7,University7: Computer Mathematical & Natural Sciences,University7: Chemistry and Biochemistry
766856a1cfb5af43,1,NSM,Chemistry & Biochemistry,Male,2000,19,84,108739,0,-0.2294757665677547,-3.833333333333332,3.1901110282383947,43.833333333333336,13.37567593382127,University17,University17: Sciences,University17: Chemistry
76791573a0a3fbb0,1,NSM,Computer Science,Male,2003,16,11,94769,0,-0.2294757665677547,-7.399999999999999,3.756777694905061,-14.8,-0.9909907328453933,University8,University8: Engineering,University8: Computer Science
76829813c33b93cb,1,Engineering,Electrical & Computer Engineering,Male,1997,22,38,129087,-0.14634146341463414,-0.08313430315312056,3.3902439024390247,-1.0334662075339622,7.024390243902438,4.184619023252168,University2,University2: Engineering,University2: Electrical and Computer Engineering
768431a2f5e03a50,0,CLASS,Economics,Female,1991,28,14,151622,0.5,0.2705242334322453,12,-3.6432223050949375,2.375,-15.165990732845394,University16,University16: Arts and Science,University16: Economics
76864a3e42270fa1,1,Engineering,Electrical & Computer Engineering,Male,1992,27,69,257200,-0.2,-0.02947576656775469,10.022222222222222,-2.6654445273171596,40.022222222222226,2.186787044932384,University3,University3: Engineering,University3: Electrical Engineering
768d657723674a3c,0,CLASS,Economics,Male,1987,32,24,206082,-0.35,0.12052423343224528,13.25,-0.8932223050949375,5.800000000000001,-8.590990732845395,University6,University6: Liberal Arts,University6: Economics
769c9332cc0a1a05,0,CLASS,Psychology,Female,2006,13,24,99979.08,0.25,0.5205242334322453,-2.25,-4.3932223050949375,-4.5,1.709009267154606,University10,University10: College of Arts and Sciences,University10: Psychology
76a3914ac042c6ce,0,CLASS,Health & Human Performance,Female,2010,9,16,75685.05,0.4285714285714286,0.3419528048608167,-6.428571428571429,-4.214650876523509,2,-12.790990732845394,University9,University9: Liberal Arts and Social Sciences,University9: Health and Human Performance
76b0bb713b7f1d06,1,NSM,Physics,Female,1987,32,50,152004,0.9444444444444444,-0.17392021101219915,6.944444444444443,5.41233325046062,4.555555555555557,18.65345371159905,University2,University2: Arts and Sciences,University2: Physics
76f8cc80925287cf,1,NSM,Earth & Atmospheric Sciences,Male,2010,9,23,88929,-0.19230769230769232,-0.037168074260062384,-13.115384615384617,2.4721623102896793,-9.192307692307693,5.401316959462299,University15,University15: Arts and Sciences,University15: Earth Ocean and Atmospheric Science
770ae2a2a5fbee04,0,CLASS,Sociology,Male,1975,44,31,116639.95,-0.3,0.07052423343224529,18.7,5.656777694905063,14.3,-10.090990732845395,University6,University6: College of Liberal Arts,University6: Sociology
774006d1c76d4924,1,NSM,Biology & Biochemistry,Male,2005,14,57,138180,-0.36585365853658536,0.13637789196883066,-8.073170731707318,2.4299484266123805,20.414634146341463,9.794375120813143,University3,University3: New College of Interdisciplinary Arts and Sciences,University3: Biology
7746f474dd0acded,1,Engineering,Electrical & Computer Engineering,Male,2011,8,5,151134.0525,-0.16666666666666666,-0.06280909990108804,-13.5,1.8567776949050625,-18.666666666666668,-3.124324066178726,University14,University14: Engineering and Computer Science,University14: Systems Engineering and Management
774979e444a4ebab,1,NSM,Biology & Biochemistry,Female,2003,16,10,78516.72,0.72,0.050524233432245325,-10.440000000000001,6.796777694905064,-27.36,10.569009267154605,University9,University9: Natural Sciences and Mathematics,University9: Biology & Biochemistry
7763b869514bec65,1,NSM,Earth & Atmospheric Sciences,Male,1985,34,83,171261,-0.19230769230769232,-0.037168074260062384,11.884615384615383,2.4721623102896793,50.80769230769231,5.401316959462299,University15,University15: Arts and Sciences,University15: Earth Ocean and Atmospheric Science
77bee331db995919,1,Engineering,Electrical & Computer Engineering,Male,1989,30,61,176856,-0.14634146341463414,-0.08313430315312056,11.390243902439025,-1.0334662075339622,30.024390243902438,4.184619023252168,University2,University2: Engineering,University2: Electrical and Computer Engineering
77d1cf90718f9119,1,Engineering,Electrical & Computer Engineering,Male,1973,46,60,243524.28,-0.125,-0.1044757665677547,20.1875,6.1692776949050625,34.4375,-1.228490732845394,University10,University10: Engineering & Applied Science,University10: Electrical Engineering & Computer Science
77d9491fed227227,0,CLASS,Economics,Male,1976,43,15,79000,-0.3076923076923077,0.07821654112455301,17.884615384615383,5.472162310289679,-12.346153846153847,0.5551631133084527,University7,University7: Behavioral and Social Sciences,University7: Economics
780afef89af07671,1,NSM,Computer Science,Male,1981,38,25,118185.84,0,-0.2294757665677547,15.2,3.156777694905063,-1.3000000000000007,-0.4909907328453933,University9,University9: Natural Sciences and Mathematics,University9: Computer Science
783529f59e7720b2,1,Engineering,Biomedical Engineering,Male,2009,10,22,100256.52,-0.25,0.020524233432245298,-9.75,0.1067776949050625,-5.75,0.959009267154606,University10,University10: Engineering & Applied Science,University10: Biomedical Engineering
78420df6febce2fd,1,Engineering,Civil & Environmental Engineering,Male,2012,7,11,96850,0,-0.2294757665677547,-8.8,-3.843222305094937,-12.600000000000001,-3.1909907328453926,University15,University15: Engineering,University15: Civil & Environmental Engineering
